Routing Directions,,,,,,
"Start - New York, NY",August,,,,,
SW,Wed - 04-Aug-99,0,00:00,Broadway,,
NW,,0,00:00,Chambers St,,
NE,,0,00:00,Church St,,
N,,1,00:01,Avenue of the Americas (6th Ave),,
NW,,1,00:02,Canal St,,
N,,2,00:02,Hudson St,,
NE,,2,00:02,Ramp,,
E,,2,00:02,Broome St,,
W,,2,00:02,Holland Tunl,,
W,,4,00:04,SR 139,,
W,,7,00:06,Pulaski Skwy (SR 139),,
E,,13,00:10,US 1 TRK (US 9 TRK|Raymond Blvd),,
SW,,13,00:10,I-95 (New Jersey Tpke),,NJTNPK Exit 15E Mile 107
SW,,38,00:29,New Jersey Tpke,,
NE,,186,02:08,I-295 (US 40),,I-295 Exit 1AB Mile 1 Northbound.
W,,187,02:09,I-295 (US 40|Delaware Bridge),State Border,
SW,,196,02:15,I-95 (US 202),,
SW,,214,02:27,I-95,State Border,
SW,,292,03:17,I-895,,61
SW,,309,03:29,Baltimore Washington Pkwy (SR 295),,4
S,,352,03:58,Gladys Noon Spellman Pkwy (SR 295|Kenilworth Ave),,
S,,353,03:59,SR 295 (Kenilworth Ave),,
SW,,354,03:59,Kenilworth Ave NE,State Border,
SW,,357,04:02,Anacostia Fwy,,
NW,,359,04:03,Pennsylvania Ave SE,,
W,,360,04:04,I-395 (Southeast Fwy),,
SW,,366,04:09,I-395 (US 1|Shirley Hwy),State Border,
NW,Wed - 04-Aug-99,371,04:12,SR 120 (S Glebe Rd),,I-395 Exit 7AB Mile 7
"Stop - Exit I-395 Exit 7AB Mile 7, VA",,,04:12,,,
NE,Thu - 05-Aug-99,371,04:12,SR 120 (S Glebe Rd),,
E,,371,04:12,I-395 (Shirley Hwy),,I-395 Exit 7AB Mile 7
SE,,375,04:15,US 1 (Shirley Hwy),,
NW,,375,04:16,George Washington Memorial Pkwy (SR 400|Scenic),,11
NW,,376,04:16,George Washington Memorial Pkwy (Scenic),State Border,
W,,378,04:18,George Washington Memorial Pkwy (Scenic),State Border,
W,,381,04:19,Spout Run Pkwy (SR 124),,
NE,,382,04:21,US 29 (Lee Hwy),,
W,,382,04:21,I-66 (Custis Memorial Pkwy),,I-66 Exit 72 Mile 72 Difficult Reaccess.
S,,488,05:32,US 340 (US 522|Winchester Rd),,I-66 Exit 6 Mile 6
S,,496,05:41,Skyline Pl (Scenic),,
SW,,512,05:58,Skyline Dr (Scenic),,
SW,,521,06:08,Skyline Ln (Scenic),,
SW,,524,06:10,Skyline Dr (Scenic),,
W,,525,06:11,Skyline Ln (Scenic),,
SW,,525,06:11,Skyline Dr (Scenic),,
SW,,526,06:12,Skyline Ln (Scenic),,
NW,,527,06:13,Skyline Dr (Scenic),,
NW,,527,06:14,Skyline Ln (Scenic),,
SW,,527,06:14,Skyline Dr (Scenic),,
W,,545,06:33,US 211 (E Lee Hwy),,
SW,,559,06:44,US 340 Bus (N Broad St),,
